date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2010-01-01,32,19,0.0,11.0,6,100,06:57 PM,07:33 AM,07:12 AM,06:12 PM,13,26,26,25,13,11,46,0.0,1013,32,10,164,8,mumbai
2010-01-02,32,22,0.0,11.0,7,85,08:04 PM,08:28 AM,07:12 AM,06:13 PM,17,28,28,27,13,21,56,0.0,1014,32,10,177,8,mumbai
2010-01-03,31,23,0.0,11.0,7,77,09:09 PM,09:17 AM,07:13 AM,06:14 PM,19,28,28,26,14,24,67,0.0,1015,31,10,239,9,mumbai
2010-01-04,31,22,0.0,11.0,7,70,10:10 PM,10:02 AM,07:13 AM,06:14 PM,15,27,27,25,18,4,55,0.0,1014,31,10,180,11,mumbai
2010-01-05,31,20,0.0,11.0,7,63,11:09 PM,10:43 AM,07:13 AM,06:15 PM,15,26,26,25,12,6,53,0.0,1011,31,10,173,6,mumbai
2010-01-06,33,21,0.0,11.0,7,56,No moonrise,11:23 AM,07:13 AM,06:15 PM,14,27,27,26,14,5,46,0.0,1011,33,10,161,8,mumbai
2010-01-07,32,21,0.0,11.0,7,48,12:06 AM,12:02 PM,07:14 AM,06:16 PM,12,26,26,26,15,8,45,0.0,1012,32,10,163,8,mumbai
2010-01-08,32,20,0.0,11.0,7,41,01:02 AM,12:43 PM,07:14 AM,06:17 PM,12,26,26,25,15,5,44,0.0,1013,32,10,161,8,mumbai
2010-01-09,32,20,0.0,11.0,7,34,01:59 AM,01:26 PM,07:14 AM,06:17 PM,12,26,26,25,15,7,42,0.0,1013,32,10,162,9,mumbai
2010-01-10,33,20,0.0,11.0,7,27,02:55 AM,02:11 PM,07:14 AM,06:18 PM,13,27,27,26,14,11,44,0.0,1013,33,10,154,8,mumbai
